user_id,signup_date,channel,campaign_cost,impressions,clicks,signups,activated,converted,monthly_revenue,months_active,lifetime_value
75,2024-12-16,Organic,196.04,8178,1251.0,1,1,1,38.7,14.0,541.8000000000001
76,2024-10-30,Organic,112.9,6163,1125.0,0,0,0,47.92,17.0,814.64
77,2024-09-27,Referral,10.53,2385,1610.0,1,0,0,9.68,22.0,212.95999999999998
78,2024-08-02,Paid Social,152.83,5323,1440.0,1,0,1,1.71,21.0,35.91
79,2024-09-08,Organic,102.97,7071,1981.0,0,0,0,,18.0,
80,2024-07-08,Organic,138.39,3625,1239.0,1,1,0,4.15,1.0,4.15
81,2024-10-22,Referral,86.41,2922,406.0,0,0,0,4.95,3.0,14.850000000000001
82,2024-07-31,Organic,189.85,5043,398.0,1,0,0,11.74,2.0,23.48
83,2024-07-26,Email,,6630,1946.0,1,0,0,14.01,6.0,84.06
84,2024-08-24,Referral,157.93,358,,0,0,0,30.2,23.0,694.6
85,2024-12-03,Organic,105.28,382,703.0,1,0,1,45.38,17.0,771.46
86,2024-02-22,Organic,15.09,1998,760.0,1,0,1,35.94,9.0,323.46
87,2024-10-06,,13.56,4235,498.0,1,1,1,6.42,6.0,38.519999999999996
88,2024-08-04,Paid Search,65.41,6729,1777.0,0,1,0,7.55,7.0,52.85
89,2024-09-08,Paid Search,41.43,3300,1488.0,1,1,1,84.4,5.0,422.0
90,2024-07-06,Email,10.46,5210,1714.0,1,1,0,32.69,21.0,686.49
91,2024-02-10,Email,27.17,7267,1972.0,1,0,1,81.59,0.0,0.0
92,2024-06-05,,73.09,712,973.0,1,1,1,18.58,3.0,55.739999999999995
93,2024-01-15,Referral,40.59,787,1754.0,0,1,1,38.12,13.0,495.55999999999995
94,2024-10-27,Paid Search,339.01,3790,81.0,0,0,0,29.67,16.0,474.72
95,2024-03-05,Organic,47.41,8904,603.0,1,1,0,15.37,19.0,292.03
96,2024-12-10,Referral,183.65,2407,1970.0,0,0,0,25.39,17.0,431.63
97,2024-11-22,Paid Social,237.89,7233,1710.0,1,0,1,27.93,10.0,279.3
98,2024-01-09,Paid Search,54.19,6609,1774.0,0,0,0,8.96,20.0,179.20000000000002
99,2024-12-09,Email,50.34,0,771.0,0,1,1,15.13,13.0,196.69
100,2024-05-08,Organic,55.24,2691,902.0,1,1,0,62.7,8.0,501.6
101,2024-05-15,Paid Social,72.95,7283,364.0,0,1,0,98.98,14.0,1385.72
102,2024-03-03,Organic,61.48,5348,162.0,0,0,0,17.84,11.0,196.24
103,2024-05-18,Paid Social,28.22,8866,1071.0,1,0,0,14.67,9.0,132.03
104,2024-03-21,Organic,107.54,5208,510.0,1,0,0,8.69,18.0,156.42
105,2024-06-11,Organic,61.31,3704,1352.0,1,0,0,45.39,23.0,1043.97
106,2024-10-15,Organic,346.91,769,1863.0,0,1,1,15.61,18.0,280.98
107,2024-09-17,Paid Social,159.71,4464,115.0,0,0,0,176.09,5.0,880.45
108,2024-08-18,Referral,62.05,7429,,0,1,0,15.76,19.0,299.44
109,2024-02-10,Paid Social,126.98,1383,1872.0,0,1,1,20.04,23.0,460.91999999999996
110,2024-01-28,,123.57,1023,336.0,0,0,1,36.99,5.0,184.95000000000002
111,2024-05-14,Paid Search,174.68,1225,880.0,0,1,1,64.72,7.0,453.03999999999996
112,2024-07-19,Paid Search,13.75,1629,736.0,0,0,0,25.36,0.0,0.0
113,2024-11-23,Email,25.67,9886,1887.0,1,0,1,21.97,21.0,461.37
114,2024-09-24,Organic,39.99,8538,839.0,1,0,1,217.39,16.0,3478.24
115,2024-02-02,,82.8,3811,146.0,0,1,0,0.42,16.0,6.72
116,2024-02-17,Organic,38.84,8104,1598.0,1,0,0,90.18,23.0,2074.1400000000003
117,2024-03-02,,201.33,9852,1829.0,0,1,0,6.46,14.0,90.44
118,2024-08-03,Organic,29.55,6374,1346.0,1,1,0,61.66,6.0,369.96
119,2024-10-19,Email,99.81,3964,,1,0,1,,18.0,
120,2024-04-08,Paid Social,104.65,7933,836.0,0,1,0,16.73,21.0,351.33
121,2024-06-20,,112.35,6888,1036.0,1,1,1,82.82,22.0,1822.04
122,2024-12-25,Organic,138.53,326,942.0,1,0,0,0.52,2.0,1.04
123,2024-08-01,Paid Social,166.86,364,1517.0,1,0,0,10.28,21.0,215.88
124,2024-02-04,,226.46,9687,1724.0,0,1,0,33.47,10.0,334.7
125,2024-08-14,Paid Social,61.64,745,286.0,1,0,0,17.33,19.0,329.27
126,2024-04-10,Paid Social,40.28,7644,719.0,0,1,1,37.7,18.0,678.6
127,2024-05-10,Referral,,5669,1137.0,1,0,1,0.98,8.0,7.84
128,2024-09-13,Paid Social,111.94,0,479.0,0,0,0,4.95,9.0,44.550000000000004
129,2024-01-05,Paid Social,148.05,2604,21.0,0,0,0,5.44,1.0,5.44
130,2024-08-05,Paid Social,19.43,9446,1372.0,1,0,0,8.39,0.0,0.0
131,2024-09-11,Email,142.03,687,1749.0,1,1,1,24.6,15.0,369.0
132,2024-12-24,Organic,,9277,682.0,1,0,0,55.79,17.0,948.43
133,2024-10-09,Paid Search,101.75,4179,1858.0,0,1,0,94.38,22.0,2076.3599999999997
134,2024-07-25,,60.02,3448,1589.0,1,1,0,,16.0,
135,2024-01-15,Email,188.27,6399,905.0,1,1,1,8.77,5.0,43.849999999999994
136,2024-12-11,Paid Social,20.62,3931,1833.0,1,1,0,23.28,13.0,302.64
137,2024-02-11,Paid Social,95.19,9533,319.0,1,0,0,8.9,22.0,195.8
138,2024-06-27,Paid Search,112.58,8481,125.0,1,0,1,12.29,14.0,172.06
139,2024-03-03,Organic,62.03,9272,276.0,0,1,0,28.01,13.0,364.13
140,2024-12-17,Paid Social,95.12,9990,1999.0,0,0,0,2.82,23.0,64.86
141,2024-08-18,Paid Search,56.02,1815,1227.0,1,1,1,9.84,21.0,206.64
142,2024-08-28,Paid Social,91.86,6550,193.0,1,0,1,109.57,2.0,219.14
143,2024-02-21,Organic,109.35,5533,1704.0,1,1,0,25.1,23.0,577.3000000000001
144,2024-04-05,,53.79,1198,1687.0,0,1,0,23.58,22.0,518.76
145,2024-08-09,,75.16,0,1570.0,0,1,0,0.59,18.0,10.62
146,2024-08-18,Referral,8.9,2426,695.0,0,1,1,11.37,11.0,125.07
147,2024-08-24,Paid Social,59.75,9187,1309.0,0,1,0,80.48,1.0,80.48
148,2024-05-22,Paid Search,26.49,6516,56.0,1,1,1,7.2,2.0,14.4
149,2024-06-19,Email,72.38,7080,,0,1,0,21.45,17.0,364.65
150,2024-01-29,Referral,178.75,6863,1326.0,0,0,0,0.58,0.0,0.0
151,2024-02-05,Organic,199.78,1774,1186.0,1,0,1,26.03,19.0,494.57000000000005
152,2024-01-13,Email,69.79,8050,18.0,0,0,1,0.85,20.0,17.0
153,2024-06-08,Email,29.06,9222,1393.0,1,1,0,,5.0,
154,2024-11-22,Email,26.57,9015,263.0,0,0,0,69.69,4.0,278.76
155,2024-07-05,Referral,155.77,6149,793.0,1,1,0,62.0,0.0,0.0
156,2024-08-30,Paid Social,70.7,1189,112.0,1,1,1,13.33,18.0,239.94
157,2024-03-26,Paid Search,88.22,4678,1511.0,0,1,1,,0.0,
158,2024-10-10,Email,69.39,9227,1350.0,1,1,0,31.32,20.0,626.4
159,2024-03-06,Email,120.41,255,541.0,1,0,1,18.72,20.0,374.4
160,2024-06-18,Organic,81.48,9362,646.0,1,1,0,39.27,15.0,589.0500000000001
161,2024-02-14,Organic,137.87,2058,578.0,0,1,0,0.5,11.0,5.5
162,2024-03-02,Paid Search,139.22,6444,1088.0,1,0,0,6.17,21.0,129.57
163,2024-05-13,Email,36.03,5879,1315.0,1,0,0,54.24,7.0,379.68
164,2024-10-10,,105.99,6244,24.0,0,1,0,11.2,15.0,168.0
165,2024-01-28,Organic,192.77,5163,1572.0,0,1,0,36.45,0.0,0.0
166,2024-04-17,Paid Social,119.25,3930,0.0,1,0,0,19.45,3.0,58.349999999999994
167,2024-02-13,Paid Search,109.96,9146,910.0,0,1,1,77.19,9.0,694.71
168,2024-12-05,,43.38,8931,1572.0,0,1,0,121.81,10.0,1218.1
169,2024-10-12,Email,44.08,9894,140.0,0,0,0,86.02,16.0,1376.32
170,2024-11-26,Email,82.41,6759,1767.0,1,1,0,12.62,22.0,277.64
171,2024-05-07,Paid Social,48.72,541,647.0,1,1,1,8.63,6.0,51.78
172,2024-12-13,Paid Search,165.55,0,1924.0,1,1,0,25.73,11.0,283.03000000000003
173,2024-08-18,Paid Search,72.66,6025,,1,1,0,0.29,20.0,5.8
174,2024-07-08,Organic,46.34,7458,1151.0,1,0,1,1.05,6.0,6.300000000000001
175,2024-08-12,Email,,4728,200.0,1,0,0,32.23,11.0,354.53
176,2024-10-09,Email,30.8,6470,1150.0,0,0,0,,14.0,
177,2024-04-30,,81.78,9628,256.0,1,0,1,208.72,1.0,208.72
178,2024-04-25,,51.64,1048,1699.0,1,0,0,9.02,13.0,117.25999999999999
179,2024-08-20,Paid Social,354.43,8279,546.0,0,1,0,11.94,12.0,143.28
180,2024-09-15,Referral,81.88,0,193.0,1,1,0,4.82,3.0,14.46
181,2024-12-24,Email,38.6,559,702.0,1,1,0,99.82,13.0,1297.6599999999999
182,2024-07-16,Email,85.79,7668,1127.0,0,1,0,60.17,13.0,782.21
183,2024-05-16,Organic,72.3,4746,1558.0,1,1,0,69.12,15.0,1036.8000000000002
184,2024-11-13,Paid Social,44.46,492,1288.0,0,0,0,,6.0,
185,2024-06-13,Organic,164.85,1887,801.0,0,0,0,29.77,18.0,535.86
186,2024-08-12,,130.39,7474,941.0,1,1,1,24.0,1.0,24.0
187,2024-11-02,Paid Social,102.41,1238,1997.0,0,1,0,16.04,9.0,144.35999999999999
188,2024-08-21,Organic,,4841,1407.0,1,0,0,35.59,17.0,605.0300000000001
189,2024-06-20,Referral,263.55,7518,,1,1,1,24.23,16.0,387.68
190,2024-05-31,Paid Social,108.64,6462,413.0,1,0,1,24.03,4.0,96.12
191,2024-11-10,Paid Search,51.25,2554,1381.0,1,1,0,110.54,11.0,1215.94
192,2024-06-08,Organic,175.25,9758,1098.0,0,1,1,165.49,5.0,827.45
193,2024-04-05,Referral,90.95,3774,1378.0,1,1,0,63.68,21.0,1337.28
194,2024-08-20,Paid Social,160.94,1477,1607.0,1,1,0,56.55,8.0,452.4
195,2024-06-28,Referral,112.02,0,,1,1,1,45.65,19.0,867.35
196,2024-04-22,Paid Social,318.51,2697,909.0,1,1,0,7.26,0.0,0.0
197,2024-11-13,Email,32.91,241,187.0,1,1,0,2.44,21.0,51.24
198,2024-02-21,Paid Social,53.62,2759,1996.0,1,1,0,46.94,14.0,657.16
199,2024-09-24,Paid Social,458.64,4696,1708.0,0,1,0,,20.0,
200,2024-10-21,Email,77.25,9131,1313.0,1,0,0,1.92,5.0,9.6
201,2024-04-22,Paid Search,29.67,5761,44.0,1,0,1,105.27,18.0,1894.86
202,2024-04-10,Organic,125.32,6242,1596.0,1,1,0,3.82,17.0,64.94
203,2024-04-22,Organic,175.46,5726,82.0,1,0,1,13.47,5.0,67.35000000000001
204,2024-03-21,Referral,76.39,8887,1146.0,0,0,0,44.64,12.0,535.6800000000001
205,2024-07-05,Paid Social,11.63,8572,357.0,1,1,1,,0.0,
206,2024-04-22,Referral,37.63,523,1551.0,1,1,1,2.28,22.0,50.16
207,2024-01-02,Organic,17.71,7099,1089.0,1,1,1,16.09,22.0,353.98
208,2024-05-09,Organic,290.83,4349,935.0,0,0,0,58.09,,
209,2024-08-07,Organic,16.12,1850,,0,0,0,21.36,6.0,128.16
210,2024-02-23,Paid Search,51.56,4857,374.0,1,0,0,42.33,14.0,592.62
211,2024-12-08,Paid Social,122.68,2067,161.0,0,0,1,34.66,11.0,381.26
212,2024-08-11,Paid Search,,4188,1769.0,0,0,1,0.9,0.0,0.0
213,2024-08-12,Paid Search,112.04,4278,1403.0,0,0,0,178.76,14.0,2502.64
214,2024-05-05,Email,46.45,7889,,0,1,0,1.69,,
215,2024-05-09,Paid Search,106.03,3046,1381.0,1,1,0,137.43,12.0,1649.16
216,2024-02-22,Paid Social,65.9,0,1211.0,1,0,0,31.93,22.0,702.46
217,2024-06-20,Referral,73.62,5494,321.0,1,0,0,132.05,4.0,528.2
218,2024-08-05,Paid Search,172.44,7980,449.0,1,1,1,4.88,1.0,4.88
219,2024-06-08,Paid Social,28.78,5175,1497.0,0,0,1,26.97,22.0,593.3399999999999
220,2024-07-16,Email,105.68,7330,1036.0,1,1,0,7.43,0.0,0.0
221,2024-09-03,Email,147.06,1631,183.0,1,0,0,2.09,15.0,31.349999999999998
222,2024-11-19,Organic,26.01,3090,110.0,0,0,0,38.44,22.0,845.68
223,2024-07-21,Email,17.84,7255,1950.0,1,0,0,,,
224,2024-07-02,Paid Social,66.96,4593,,1,0,0,35.44,,
225,2024-05-02,Paid Search,100.84,9435,1313.0,1,1,0,,15.0,
226,2024-09-11,Paid Social,132.63,1033,294.0,1,1,1,16.14,13.0,209.82
227,2024-10-20,,21.91,1560,1474.0,0,1,0,60.86,2.0,121.72
228,2024-10-06,Paid Social,150.84,2823,903.0,1,0,0,22.98,14.0,321.72
229,2024-11-20,Paid Search,189.77,385,1238.0,1,1,1,39.53,2.0,79.06
230,2024-04-07,Paid Social,109.0,364,973.0,1,1,1,41.7,22.0,917.4000000000001
231,2024-07-16,Organic,198.42,6916,631.0,1,1,0,74.25,,
232,2024-08-27,Organic,63.96,1862,1917.0,0,0,0,15.72,0.0,0.0
233,2024-05-23,Organic,,140,1590.0,1,0,0,46.5,8.0,372.0
234,2024-04-06,Organic,75.17,5927,1050.0,1,1,1,130.4,8.0,1043.2
235,2024-07-19,Organic,32.79,8359,1653.0,0,1,1,52.41,22.0,1153.02
236,2024-05-03,Organic,50.81,1087,732.0,0,0,1,26.92,6.0,161.52
237,2024-07-05,Paid Social,83.93,7904,1254.0,1,0,0,39.85,2.0,79.7
238,2024-11-21,Organic,92.66,7889,1588.0,1,0,1,,17.0,
239,2024-12-14,Paid Search,116.09,5817,1830.0,0,1,0,37.9,10.0,379.0
240,2024-09-15,Email,7.98,3298,320.0,0,0,0,0.67,6.0,4.0200000000000005
241,2024-05-27,Paid Social,453.17,5474,912.0,1,1,0,8.67,8.0,69.36
242,2024-09-08,Referral,36.25,4890,1256.0,0,1,0,66.53,0.0,0.0
243,2024-12-11,Organic,132.22,7283,1693.0,1,1,0,12.73,13.0,165.49
244,2024-05-26,Organic,102.49,2624,436.0,1,1,1,52.61,19.0,999.59
245,2024-05-27,Organic,47.99,9377,780.0,1,0,1,18.62,5.0,93.10000000000001
246,2024-12-17,Organic,123.88,2579,1556.0,1,1,0,29.52,6.0,177.12
247,2024-07-17,Paid Search,37.04,9985,1426.0,0,0,0,2.82,9.0,25.38
248,2024-11-03,Organic,81.36,5254,1076.0,1,1,0,8.0,6.0,48.0
249,2024-05-07,Organic,291.08,878,1810.0,1,1,0,126.05,1.0,126.05
250,2024-02-08,Organic,,9877,1336.0,0,0,0,88.34,3.0,265.02
251,2024-12-03,Paid Social,87.77,1592,1304.0,1,1,1,42.25,20.0,845.0
252,2024-12-25,Organic,31.36,760,725.0,1,1,0,,16.0,
253,2024-05-08,Paid Search,134.35,1448,30.0,1,0,0,45.05,0.0,0.0
254,2024-09-23,Paid Social,42.79,0,336.0,1,1,0,38.56,9.0,347.04
255,2024-05-30,Referral,103.98,7951,182.0,1,1,1,33.62,18.0,605.16
256,2024-10-24,Organic,166.51,7256,1046.0,0,1,1,2.44,,
257,2024-04-08,Referral,,2144,,1,0,1,40.07,9.0,360.63
258,2024-09-19,Paid Social,125.33,7468,1469.0,1,0,1,58.6,,
259,2024-09-08,Organic,108.46,3616,1097.0,0,0,0,205.19,11.0,2257.09
260,2024-05-23,Email,170.83,9350,1033.0,0,1,0,0.45,23.0,10.35
261,2024-12-11,Email,125.8,9268,1507.0,1,0,1,52.4,15.0,786.0
262,2024-04-21,Organic,197.39,4677,1479.0,1,1,0,33.93,8.0,271.44
263,2024-02-29,Paid Search,67.57,827,1589.0,1,0,0,22.77,14.0,318.78
264,2024-01-02,Email,25.07,7568,1587.0,1,1,0,5.46,16.0,87.36
265,2024-10-30,Referral,,442,659.0,1,0,0,21.04,13.0,273.52
266,2024-09-10,Organic,17.92,1547,159.0,1,0,0,17.5,17.0,297.5
267,2024-05-19,Organic,65.24,6681,1905.0,0,0,0,14.43,1.0,14.43
268,2024-02-06,Paid Search,94.77,6417,1037.0,1,0,1,52.5,3.0,157.5
269,2024-06-08,Paid Social,45.82,626,1201.0,0,1,0,,17.0,
270,2024-01-09,Paid Social,46.56,6848,411.0,1,1,0,35.57,6.0,213.42000000000002
271,2024-08-20,Paid Search,57.32,505,1901.0,0,1,0,111.66,12.0,1339.92
272,2024-04-08,Paid Social,82.05,8086,,0,1,0,,14.0,
273,2024-05-26,Referral,215.78,9865,52.0,0,1,0,11.18,22.0,245.95999999999998
274,2024-10-30,Organic,12.34,3840,407.0,1,1,0,42.67,21.0,896.07
275,2024-07-26,Paid Search,,1946,846.0,1,1,0,8.87,0.0,0.0
276,2024-05-10,Referral,126.27,1578,1045.0,1,1,0,,10.0,
277,2024-05-31,Email,68.06,871,,0,0,0,10.18,9.0,91.62
278,2024-02-23,Paid Social,111.29,5625,702.0,1,1,0,2.87,4.0,11.48
279,2024-04-29,Paid Social,71.73,8870,259.0,1,0,0,70.29,15.0,1054.3500000000001
280,2024-06-09,Organic,124.37,293,,1,1,0,11.75,10.0,117.5
281,2024-04-25,Paid Search,38.82,2107,1082.0,1,1,0,25.62,20.0,512.4
282,2024-03-15,Paid Social,34.58,1285,1494.0,1,0,0,1.77,5.0,8.85
283,2024-04-22,Organic,10.82,2494,775.0,1,0,0,48.07,8.0,384.56
284,2024-04-13,Paid Search,111.66,9402,1489.0,0,1,0,16.05,12.0,192.60000000000002
285,2024-12-05,Paid Search,50.14,4105,1035.0,0,1,0,54.62,,
286,2024-09-10,Organic,17.14,7529,1654.0,0,0,1,21.27,7.0,148.89
287,2024-08-14,Paid Search,35.12,2361,1950.0,1,1,1,8.71,13.0,113.23000000000002
288,2024-04-21,Organic,,3836,1997.0,0,1,1,,23.0,
289,2024-04-08,Paid Search,94.13,6816,1313.0,0,1,1,5.59,0.0,0.0
290,2024-06-01,Organic,36.29,4975,849.0,0,1,0,23.23,16.0,371.68
291,2024-12-14,Email,210.0,9021,1783.0,0,1,1,15.27,23.0,351.21
292,2024-12-03,Paid Social,78.58,4478,353.0,1,0,0,97.2,4.0,388.8
293,2024-07-12,Referral,,7915,1662.0,0,1,0,2.51,1.0,2.51
294,2024-11-05,Referral,92.65,3551,1098.0,1,1,0,47.37,23.0,1089.51
295,2024-06-11,Paid Social,66.32,7716,872.0,1,0,0,8.07,8.0,64.56
296,2024-07-26,Organic,112.01,9936,1739.0,1,0,1,15.37,3.0,46.11
297,2024-06-17,Paid Social,181.73,2900,1584.0,0,0,0,,16.0,
298,2024-06-09,Paid Social,65.38,8433,1614.0,0,1,1,95.45,16.0,1527.2
299,2024-03-08,Referral,141.47,5510,1464.0,0,1,0,,20.0,
300,2024-10-15,Paid Search,45.79,1555,990.0,0,1,0,3.83,17.0,65.11
301,2024-10-03,Organic,264.61,6992,1264.0,1,1,0,15.35,15.0,230.25
302,2024-10-30,Paid Search,40.49,5908,1017.0,1,1,0,4.42,7.0,30.939999999999998
303,2024-05-14,Paid Search,324.9,6896,1884.0,1,0,1,5.51,10.0,55.099999999999994
304,2024-07-13,Paid Social,26.25,4896,1177.0,1,0,0,34.12,20.0,682.4
305,2024-05-07,Paid Social,62.5,5193,1809.0,1,0,0,2.51,20.0,50.199999999999996
306,2024-02-02,Paid Search,116.17,1425,1119.0,1,0,1,1.26,17.0,21.42
307,2024-06-24,,190.01,5076,1749.0,1,1,0,50.13,22.0,1102.8600000000001
308,2024-01-22,Paid Social,238.18,9505,293.0,0,1,1,17.95,23.0,412.84999999999997
309,2024-08-25,Organic,217.5,1259,208.0,1,0,0,5.36,9.0,48.24
310,2024-06-06,Organic,113.06,4750,1366.0,0,1,0,11.7,12.0,140.39999999999998
311,2024-02-07,Organic,42.76,5087,1111.0,0,1,0,41.1,16.0,657.6
312,2024-08-17,Organic,163.58,4797,817.0,1,0,0,12.89,17.0,219.13
313,2024-12-30,Organic,176.85,440,1799.0,1,0,0,27.29,9.0,245.60999999999999
314,2024-02-20,Organic,104.44,3928,1960.0,1,0,0,5.19,15.0,77.85000000000001
315,2024-09-20,Paid Search,53.39,2068,389.0,1,0,1,35.48,19.0,674.1199999999999
316,2024-10-09,Organic,30.56,803,,0,1,1,15.2,4.0,60.8
317,2024-01-27,Email,45.34,5582,939.0,1,0,0,,12.0,
318,2024-08-13,Organic,43.31,6476,888.0,1,0,0,66.09,17.0,1123.53
319,2024-10-03,Paid Social,85.51,1900,1855.0,1,1,0,37.83,16.0,605.28
320,2024-10-12,Paid Search,169.18,5563,1180.0,0,1,0,14.02,8.0,112.16
321,2024-04-06,,90.54,5012,667.0,0,0,1,11.81,13.0,153.53
322,2024-10-10,Organic,28.25,4748,1674.0,0,0,0,15.87,16.0,253.92
323,2024-11-12,Paid Search,136.73,955,632.0,1,0,0,7.19,3.0,21.57
324,2024-10-30,,282.71,2966,576.0,0,0,0,8.0,17.0,136.0
325,2024-05-26,Email,89.71,282,1642.0,0,0,1,62.56,19.0,1188.64
326,2024-01-04,Email,46.66,3212,1682.0,0,1,0,19.43,23.0,446.89
